State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Calls,Eve Calls,Night Calls,Intl Calls,CustServ Calls
NE,131,408,331-4902,no,yes,36,115,117,102,4,3
NE,90,415,353-6870,no,no,0,92,114,123,2,3
CA,75,408,355-2909,no,no,0,125,86,80,5,1
NJ,78,415,390-6101,no,no,0,115,140,120,3,1
TX,82,408,400-3446,no,no,0,96,102,60,1,4
AR,163,408,411-5859,no,no,0,109,128,80,10,1
AL,91,510,387-2919,yes,no,0,112,83,130,3,3
NY,75,415,374-8525,no,yes,21,97,106,134,4,5
FL,91,510,379-5592,no,no,0,106,113,129,3,3
AK,127,510,345-8237,no,yes,36,117,76,71,8,1
NV,113,415,422-6690,no,yes,23,101,60,59,5,2
DE,110,510,346-2359,no,no,0,115,84,112,3,1
MD,120,415,374-3534,no,yes,39,68,97,116,4,0
MI,157,415,381-4756,no,yes,28,107,74,139,5,3
VT,103,510,390-2805,no,no,0,47,84,96,4,1
VT,117,408,390-2390,yes,no,0,86,87,132,7,2
MI,140,415,419-9097,no,no,0,101,94,98,6,3
WA,127,408,386-7281,no,no,0,91,78,110,3,1
UT,83,408,380-3561,yes,no,0,87,126,105,4,1
LA,121,408,390-8760,no,no,0,121,98,103,5,1
RI,145,408,366-6730,no,yes,43,97,95,86,4,2
IA,113,408,395-5285,no,no,0,99,125,67,6,1
NE,117,415,354-3436,no,no,0,119,91,105,7,1
OH,65,408,336-7600,no,no,0,116,117,86,6,1
RI,56,415,383-6293,no,no,0,112,118,142,11,1
OK,96,415,362-4596,no,no,0,115,46,87,4,5
LA,151,408,401-3926,no,no,0,116,138,101,4,0
OH,83,415,370-9116,no,no,0,120,116,114,7,0
VA,139,510,328-6289,no,yes,23,129,96,112,2,0
MO,6,510,350-9994,no,no,0,117,72,79,2,1
FL,115,510,351-4616,no,yes,24,124,129,114,4,1
SC,87,415,360-5779,no,no,0,97,108,101,5,0
VA,141,415,417-4885,no,no,0,110,111,103,6,0
IA,141,510,406-4710,no,yes,36,99,116,105,5,3
MI,62,415,409-8743,no,no,0,103,122,82,1,1
OK,146,415,335-4584,no,no,0,151,89,91,3,1
DE,92,415,361-9845,no,yes,33,92,92,104,2,2
GA,185,510,366-5699,no,yes,31,126,133,126,3,1
DC,148,415,329-9364,no,no,0,102,128,90,3,1
AZ,94,408,390-7434,no,yes,38,124,116,73,4,1
AL,32,510,404-9680,no,no,0,87,90,53,2,0
CO,68,408,338-9398,no,no,0,105,105,79,2,1
NH,64,408,394-2445,no,yes,27,91,98,86,5,2
NM,25,415,381-2709,no,no,0,87,101,86,4,3
OR,65,415,397-5060,no,no,0,87,93,150,2,1
LA,179,408,415-2393,no,no,0,92,125,104,5,0
NE,94,415,377-1765,no,no,0,104,125,106,7,2
MN,62,415,409-2111,no,no,0,91,107,115,3,0
MI,127,415,401-3170,no,no,0,103,86,113,3,2
AR,116,408,405-5681,no,no,0,93,76,112,10,3
KS,70,408,411-4582,no,no,0,122,112,112,0,3
WV,94,510,355-5009,yes,yes,23,125,136,103,5,4
AK,126,415,372-3750,no,no,0,94,118,91,1,5
NY,67,408,405-2888,no,yes,36,111,94,103,12,2
NH,19,408,361-3337,no,no,0,98,57,127,7,2
VA,170,510,350-1639,yes,no,0,68,122,121,3,3
NM,73,415,333-3221,no,no,0,145,135,92,13,1
NY,106,408,422-1471,no,no,0,74,139,103,4,1
AZ,93,415,399-7865,no,no,0,71,108,121,3,2
WY,164,510,373-4819,no,no,0,111,126,112,3,1
WA,51,408,338-6981,no,no,0,109,95,107,3,1
CO,107,415,418-4365,no,no,0,85,94,115,4,0
TX,130,415,359-5461,no,no,0,109,104,69,2,1
KY,80,408,375-3586,no,no,0,74,77,119,4,2
MT,94,415,407-8376,no,no,0,118,88,131,2,0
OK,118,408,408-6496,no,yes,23,52,111,88,4,1
MD,117,415,385-7688,no,yes,23,86,86,92,6,1
TN,78,415,332-6934,no,no,0,119,115,126,8,0
TX,208,510,378-3625,no,no,0,67,113,102,6,2
ME,131,510,353-7292,yes,yes,26,101,97,127,7,4
DC,63,408,399-6786,no,no,0,64,106,89,3,0
MN,53,415,358-3261,no,yes,24,146,136,96,5,3
DE,62,408,377-9932,no,no,0,101,93,131,1,2
MD,97,415,397-4030,no,no,0,86,94,110,8,3
MI,105,510,367-1062,no,no,0,109,51,83,3,2
WA,157,415,341-8467,no,no,0,105,80,93,4,1
MO,66,415,339-9453,no,yes,36,76,77,117,2,1
IN,122,415,344-3388,no,no,0,98,72,84,8,2
OR,38,415,375-8013,no,no,0,94,95,90,5,3
MD,106,510,408-4142,no,no,0,95,70,124,5,3
RI,99,510,386-3671,no,no,0,112,89,89,7,3
LA,99,415,411-2284,no,no,0,72,98,109,10,1
AZ,144,510,346-7795,yes,no,0,100,103,94,11,0
PA,82,415,333-5609,no,yes,24,131,106,68,3,1
AZ,86,408,405-1842,no,yes,31,139,118,121,6,1
FL,70,510,366-6345,yes,no,0,98,115,93,4,2
LA,93,415,337-9345,no,no,0,93,98,131,6,3
FL,93,415,328-6770,no,no,0,89,76,120,3,0
FL,120,415,380-7321,no,no,0,80,82,91,7,3
MD,136,415,375-1476,no,no,0,121,118,114,2,1
AL,106,415,356-1567,no,no,0,121,98,107,12,0
WA,81,415,422-6685,no,no,0,116,98,99,6,3
TN,127,408,336-1090,no,yes,22,114,103,68,6,1
MS,65,415,343-2095,no,no,0,112,96,104,2,1
ME,35,408,345-3934,no,no,0,113,122,104,6,2
OK,88,408,338-8050,no,no,0,97,76,113,1,2
IN,65,415,388-9568,no,no,0,111,94,123,4,1
MO,123,415,402-6591,no,no,0,85,78,136,2,3
IA,126,408,403-6419,no,yes,27,78,83,139,3,2
VA,104,415,386-9790,no,yes,23,136,92,102,3,4
KY,45,415,378-5692,no,yes,22,84,92,108,3,0
MD,93,408,360-3324,yes,no,0,109,100,74,2,0
OH,63,415,410-3719,yes,yes,36,110,111,92,6,1
OK,100,415,352-4221,no,no,0,96,126,122,2,3
NV,53,415,327-6179,no,no,0,97,87,113,2,0
ID,92,415,359-6196,yes,no,0,140,105,117,5,1
MN,139,510,374-9107,no,no,0,106,98,125,2,5
SD,110,408,357-4078,no,yes,40,103,128,98,9,2
IL,110,408,366-5780,no,no,0,117,98,101,7,3
WY,215,510,393-9619,no,no,0,148,91,110,9,0
AL,73,415,355-9295,no,no,0,86,116,87,6,1
NJ,138,510,400-5751,no,no,0,89,125,79,5,0
NV,137,415,338-1027,yes,no,0,95,102,81,2,2
IN,36,415,405-8867,no,no,0,77,151,103,2,1
WV,85,408,336-5616,no,no,0,81,63,110,2,3
VA,108,408,335-1697,no,no,0,99,60,75,3,0
SC,22,408,331-5138,no,no,0,107,93,96,5,0
RI,107,415,385-8240,no,yes,37,102,80,106,3,0
IN,51,510,348-1359,no,no,0,94,58,66,5,0
AZ,94,408,354-7339,no,no,0,85,98,97,2,4
NM,119,510,349-1687,no,yes,23,114,137,112,4,2
OR,33,415,380-2558,no,yes,29,99,80,79,11,4
NJ,106,415,365-2153,no,no,0,91,109,143,7,4
MS,82,408,345-6043,no,no,0,90,83,108,8,3
MI,86,510,349-2808,no,yes,41,101,134,58,3,0
TX,97,415,411-1715,yes,no,0,117,82,81,3,0
FL,106,408,385-2488,no,yes,32,126,93,86,8,4
DC,108,510,377-7177,no,no,0,122,117,92,3,1
TX,114,415,342-1099,no,no,0,118,86,95,8,1
KS,92,408,386-4170,yes,no,0,111,126,80,2,1
UT,59,510,413-1269,no,no,0,79,123,80,4,1
MN,24,510,396-4460,no,yes,25,110,105,55,9,1
IL,151,408,334-2730,no,no,0,88,112,61,1,1
NM,117,415,340-3182,no,no,0,103,108,96,3,1
SC,78,510,377-8608,no,no,0,110,73,136,1,1
NC,155,408,417-3676,no,no,0,55,113,85,6,2
WV,114,510,417-6774,no,yes,30,79,91,83,6,1
RI,114,510,411-9554,no,yes,28,94,117,100,9,4
NH,119,408,420-3192,no,no,0,89,78,98,6,3
MO,64,510,389-1475,no,yes,48,104,101,89,4,0
MA,118,408,343-7734,yes,no,0,123,96,99,3,2
PA,101,415,410-3390,no,no,0,105,117,100,3,0
OK,117,415,344-6495,no,no,0,121,83,104,3,1
AL,49,415,331-6229,no,yes,28,78,100,107,13,3
WY,139,415,337-7501,no,no,0,104,96,101,3,3
PA,92,408,339-9631,no,yes,28,90,79,114,3,1
WA,83,415,369-4384,no,no,0,103,103,100,5,3
HI,148,510,416-3915,yes,no,0,88,85,99,4,0
SD,144,408,339-3049,no,yes,48,96,67,106,2,2
AL,131,415,361-7998,no,yes,25,85,105,59,6,2
VT,146,510,355-4842,yes,no,0,135,90,114,6,3
MT,143,415,387-6440,no,no,0,97,108,119,4,2
MN,81,415,369-2625,no,no,0,93,108,71,6,2
AK,48,415,389-7073,no,yes,37,115,84,80,1,1
MI,86,415,370-8463,no,yes,28,74,100,105,2,1
DE,71,415,362-7318,no,no,0,108,109,56,5,3
SD,145,408,412-1194,no,yes,24,90,108,102,3,2
MI,137,510,355-9508,no,no,0,122,102,84,5,2
KS,137,408,352-8202,no,no,0,88,86,84,4,2
AL,167,510,335-5882,no,no,0,88,63,98,5,0
OK,89,510,352-6976,no,no,0,95,114,89,3,1
CT,199,415,393-6733,no,yes,34,121,99,94,2,0
NE,132,510,335-1838,no,no,0,110,80,124,3,0
WI,94,510,355-6930,no,no,0,112,112,108,4,1
CT,96,415,387-5860,no,yes,37,93,116,86,5,5
WI,96,510,343-2605,no,yes,18,86,113,70,3,1
IN,166,510,350-6759,no,no,0,115,152,109,5,1
DC,74,415,371-1514,no,no,0,83,67,85,5,2
AR,36,415,346-9317,no,no,0,117,58,99,1,0
ME,113,415,398-4313,no,no,0,129,117,91,9,4
MN,94,415,412-4399,no,no,0,98,88,114,5,1
MD,67,415,330-1835,no,no,0,80,81,111,4,2
FL,127,415,416-1676,no,no,0,106,168,119,2,1
RI,121,408,329-7347,no,no,0,108,68,87,3,0
IA,158,415,360-6868,no,no,0,106,114,89,4,1
AZ,136,510,405-6641,no,no,0,117,77,90,10,1
MO,196,415,393-2373,no,no,0,109,114,70,5,2
VT,113,415,419-1714,no,no,0,111,118,105,10,1
IN,122,408,336-3819,no,no,0,99,89,107,3,4
RI,112,510,341-3464,no,no,0,101,82,107,2,0
SD,209,415,413-5310,no,no,0,128,92,74,4,3
MN,62,415,366-7912,no,no,0,109,118,78,2,1
TX,110,415,399-8845,no,yes,38,102,112,82,6,1
VA,16,510,368-2583,no,no,0,69,93,64,3,0
MA,73,408,360-6309,no,no,0,136,122,77,4,0
ID,128,408,359-5890,no,no,0,99,107,111,2,0
MA,39,408,332-2462,no,no,0,158,120,46,3,1
GA,103,415,381-9196,no,yes,28,105,100,76,4,2
RI,119,415,329-3222,no,yes,29,66,114,76,3,3
ID,173,510,363-5819,no,yes,21,96,118,102,5,3
SD,128,510,413-9269,yes,yes,32,81,74,101,2,2
MA,86,510,330-7483,no,no,0,79,97,78,3,0
WY,114,415,403-7775,no,yes,32,79,105,89,3,1
VA,104,408,360-2479,no,no,0,107,113,74,3,0
OR,148,415,394-3791,no,no,0,134,92,91,4,1
VA,129,408,384-2632,no,no,0,91,121,112,5,3
ME,100,510,359-8466,no,yes,30,104,107,118,3,0
AL,121,408,331-8909,no,yes,35,95,69,42,4,1
GA,143,408,359-5160,no,yes,33,109,112,95,4,1
IA,76,510,330-9833,no,no,0,130,86,96,3,0
AZ,158,510,362-2314,no,no,0,97,77,108,12,0
FL,116,510,338-8478,no,no,0,98,135,94,2,3
MT,54,415,387-5453,no,no,0,83,74,111,2,1
AL,86,415,380-3437,no,no,0,121,93,152,5,7
DE,108,510,365-8779,no,no,0,99,87,78,4,0
MT,66,510,407-2750,no,no,0,95,66,101,4,1
KY,151,408,396-8265,no,yes,17,97,90,44,4,1
SC,99,510,397-4304,no,no,0,70,77,104,2,0
WA,55,415,333-2611,no,no,0,121,110,136,7,2
OR,77,510,409-8814,no,no,0,104,94,104,3,2
AK,78,408,336-5406,no,no,0,67,127,102,2,0
GA,89,415,343-6940,no,no,0,63,71,126,1,1
MN,101,415,361-9923,no,no,0,115,101,145,11,1
IL,44,415,350-6639,no,yes,34,105,85,62,7,0
IN,98,408,376-4300,no,yes,21,98,86,84,0,2
SC,64,510,349-6567,no,yes,37,92,103,99,3,1
VA,141,415,333-7749,no,no,0,131,120,119,8,3
WI,81,415,408-6089,no,yes,33,117,90,101,5,1
VT,162,510,375-2165,no,no,0,117,121,89,11,1
AZ,83,415,400-6999,no,yes,41,122,107,105,5,3
FL,100,510,420-7823,no,no,0,63,67,74,3,4
AK,59,510,366-5241,no,no,0,104,95,100,8,4
AR,179,415,413-3412,yes,yes,38,78,71,85,4,4
AR,79,408,406-2752,no,no,0,112,132,87,3,1
AK,117,415,337-8078,no,no,0,95,88,82,9,2
MS,64,408,402-1942,yes,no,0,77,85,97,2,2
ME,31,415,371-7917,no,no,0,105,93,98,2,1
CA,124,408,343-6374,yes,no,0,89,80,114,4,1
NM,122,408,385-8730,no,yes,23,85,132,96,2,2
NE,37,408,393-7892,yes,yes,39,122,75,90,4,1
SC,90,408,407-6748,no,yes,29,109,103,97,4,1
CO,159,408,341-4463,yes,no,0,53,127,82,6,1
DE,148,415,351-2587,no,no,0,83,81,99,6,0
OH,39,415,421-9752,no,yes,36,121,113,131,5,1
MS,77,408,356-4001,no,no,0,87,138,136,3,2
OK,194,408,328-9869,no,no,0,88,118,81,2,0
CO,154,415,343-5709,no,no,0,75,94,100,9,1
NC,112,415,334-1872,no,no,0,96,123,115,3,4
MD,45,415,350-1040,no,no,0,127,108,100,3,1
KS,132,415,369-3214,no,no,0,110,137,114,5,1
MA,128,415,385-6778,no,no,0,99,120,76,2,0
NC,135,415,383-7689,no,no,0,81,114,82,6,1
NM,56,408,385-5722,no,no,0,110,102,91,6,2
CA,151,415,357-1909,yes,no,0,57,88,95,1,0
NY,32,415,364-3567,no,no,0,98,96,108,2,2
AZ,90,415,422-4241,no,no,0,77,99,58,6,2
SD,87,415,370-2957,no,yes,21,113,114,82,5,0
DC,138,415,329-6562,no,no,0,87,116,111,7,2
ND,79,408,363-3515,no,no,0,123,108,106,18,1
MO,95,415,374-7787,yes,no,0,84,112,89,2,1
KS,127,415,345-2931,no,no,0,100,113,96,4,2
SD,137,510,373-5732,no,no,0,118,93,50,2,3
OK,97,415,348-7437,no,no,0,107,96,112,4,1
OR,149,415,332-9460,yes,no,0,87,81,92,4,0
IN,117,415,355-6531,yes,yes,22,82,82,120,5,1
OH,84,408,336-9390,no,no,0,125,90,82,4,2
KS,137,415,346-8581,no,no,0,113,79,111,7,4
CT,99,415,363-8824,no,no,0,64,99,98,1,3
NH,54,510,353-3351,no,no,0,102,83,53,5,1
WI,85,415,360-4320,no,no,0,95,139,105,3,1
MS,150,510,417-6252,no,no,0,99,73,100,6,3
WV,43,415,393-4949,no,no,0,125,89,102,2,1
MA,35,415,401-3156,no,no,0,129,129,77,3,0
MD,98,415,338-6283,no,no,0,92,152,115,5,5
PA,112,510,352-9017,no,no,0,76,100,91,3,2
WI,16,510,405-5305,no,no,0,78,108,91,2,0
TN,98,415,376-9249,no,yes,22,89,143,42,5,0
TX,84,408,339-7139,no,no,0,102,93,137,4,0
OR,94,415,328-6011,no,no,0,103,109,121,2,1
IL,84,510,378-1303,no,no,0,129,112,118,4,1
DC,66,415,402-5155,no,no,0,91,68,118,5,1
GA,98,415,333-5430,no,yes,31,105,98,110,1,1
ID,74,415,365-9696,no,no,0,124,94,112,3,0
UT,96,408,410-4023,no,yes,26,108,89,96,2,1
KY,119,510,411-7649,no,no,0,122,107,112,6,1
OH,73,415,338-4065,no,no,0,80,115,100,3,4
WI,92,415,421-9401,yes,no,0,91,115,73,5,0
IL,21,415,343-9658,no,no,0,78,79,108,7,0
DE,122,510,332-5521,no,no,0,134,122,59,5,4
RI,133,510,349-4369,yes,no,0,108,81,88,3,1
TX,145,415,351-4288,no,no,0,110,117,108,4,2
OR,25,408,422-5874,no,no,0,90,72,99,5,2
NV,64,415,396-2324,no,no,0,80,90,92,6,2
NE,85,415,416-5662,no,no,0,85,117,72,1,0
MS,126,415,363-9663,no,no,0,112,90,122,5,3
OR,76,415,410-9477,no,no,0,77,87,92,3,0
DE,113,415,352-4418,no,no,0,47,110,88,3,2
DE,224,510,361-6563,yes,no,0,99,103,102,2,1
AZ,117,408,417-4404,no,no,0,84,106,93,2,0
SD,128,408,372-8048,no,yes,34,73,79,81,6,1
NV,115,415,356-3646,no,no,0,98,73,106,6,2
NM,141,415,351-9604,no,yes,28,126,126,124,11,2
MN,51,510,355-9581,no,no,0,114,94,112,1,1
NJ,100,415,396-5189,no,no,0,122,76,83,3,0
IN,96,415,356-9187,no,yes,45,124,77,102,2,3
DC,112,415,394-5537,no,yes,16,110,123,108,3,1
MA,129,510,408-2712,yes,no,0,131,101,130,4,1
ME,163,415,404-4486,no,no,0,129,108,97,7,1
NH,67,415,355-1113,no,yes,40,65,93,128,9,1
AZ,140,408,411-4674,no,no,0,91,106,128,5,3
OR,49,510,376-4519,no,no,0,69,92,153,7,2
KS,46,510,365-5979,no,no,0,100,90,104,2,2
NE,148,415,382-2879,no,no,0,98,110,98,4,1
MI,112,510,420-1383,no,no,0,77,97,94,2,1
SC,78,415,411-7390,no,no,0,106,101,125,5,2
PA,61,408,383-8848,no,yes,31,101,102,49,3,0
MT,58,510,387-9301,no,yes,29,80,91,108,3,1
NM,155,415,399-3164,no,no,0,123,96,134,3,1
OH,100,510,385-8997,no,no,0,76,74,126,4,0
WY,113,510,352-6573,no,no,0,93,106,123,3,1
MI,81,415,408-3384,no,no,0,99,102,86,2,2
AR,135,510,419-6033,no,yes,27,141,99,112,6,1
FL,99,408,336-2090,no,no,0,93,95,67,4,0
AR,59,510,343-7242,no,yes,29,114,82,103,3,1
MO,135,510,376-1713,no,no,0,129,121,109,5,1
WI,85,408,381-5878,yes,no,0,107,126,110,7,2
TX,70,510,390-5470,no,no,0,103,106,86,6,0
TX,88,510,414-4803,no,no,0,116,138,110,4,3
NM,55,510,382-5478,no,no,0,100,121,122,5,2
GA,75,415,333-7637,no,no,0,114,61,82,3,1
ID,79,510,341-1647,no,yes,21,79,118,92,3,4
AL,85,408,411-4232,no,no,0,107,124,76,5,0
KS,86,408,339-2616,no,yes,23,107,105,81,2,0
SD,91,510,327-3850,no,no,0,115,105,94,3,0
LA,149,415,328-7209,no,yes,20,77,88,76,9,1
OH,97,408,405-6189,no,no,0,125,100,101,1,1
MA,88,415,418-6737,no,no,0,124,112,115,2,1
AZ,60,415,366-2212,no,no,0,88,69,69,2,2
KY,54,408,356-1420,no,no,0,99,64,70,7,2
DC,11,415,343-1323,no,yes,28,86,122,80,3,3
WA,109,415,361-8239,no,no,0,120,119,86,3,0
UT,90,415,384-1621,no,no,0,128,104,91,5,1
RI,115,408,360-3525,no,no,0,109,117,90,9,3
OH,144,415,392-3813,no,yes,18,109,113,111,5,1
NV,91,408,337-6898,no,no,0,75,87,89,2,0
ND,105,415,366-8036,no,yes,23,85,90,111,5,0
NV,71,415,352-8327,yes,no,0,113,94,111,3,3
FL,132,510,334-9505,no,yes,36,103,125,102,5,3
MD,112,415,336-5702,no,no,0,103,71,100,4,1
AZ,86,415,392-2381,no,yes,32,163,121,105,5,3
AL,41,510,369-6880,no,yes,34,63,110,115,9,2
NE,44,415,416-8697,no,no,0,146,83,106,2,1
NV,78,408,345-3451,no,no,0,116,87,83,6,3
IL,149,408,379-2514,no,no,0,117,100,53,3,1
WV,72,510,418-6651,no,yes,33,59,98,117,4,4
MI,139,415,421-3528,no,yes,20,101,132,132,12,0
AR,74,510,329-9046,no,no,0,111,42,83,6,3
UT,50,510,406-3890,no,no,0,106,106,110,5,1
GA,141,510,403-8904,no,yes,23,112,118,115,2,3
AZ,140,408,393-4086,no,no,0,134,98,124,2,1
ID,99,408,400-1367,no,no,0,102,107,92,4,2
HI,166,408,377-9473,no,no,0,108,54,94,6,1
NV,124,408,396-3068,no,no,0,123,104,93,3,1
MD,74,415,331-9293,no,no,0,116,63,97,4,0
GA,117,510,347-1914,no,no,0,95,110,92,13,2
GA,85,510,395-1962,no,no,0,132,101,75,2,3
UT,36,415,401-5485,no,yes,16,111,113,87,2,0
MA,102,510,355-6560,yes,no,0,103,131,106,3,0
